dataset,target_size,fold,algorithm,repeat,final_size,time,metric1,metric2,selected_features
lucas_full,10,0,fsdr,0,10,23.8201,0.7889,0.0625,422-538-1137-1417-1860-2020-2197-2995-3440-3812
lucas_full,10,0,fsdr,1,10,24.4825,0.7948,0.0616,422-476-1084-1348-1822-2019-2475-3199-3402-3809
lucas_full,10,0,fsdr,2,10,24.1226,0.8074,0.0597,412-495-1408-1570-1994-2015-2652-3051-3208-3814
lucas_full,10,0,fsdr,3,9,24.5207,0.7861,0.0629,407-612-1048-1650-2022-2153-2350-3448-3812
lucas_full,10,0,fsdr,4,10,24.514,0.7857,0.0629,413-538-1117-1401-1875-2021-2436-2999-3435-3809
lucas_full,10,0,fsdr,5,10,25.1578,0.7833,0.0633,413-819-1102-1408-2020-2021-2137-2991-3435-3806
lucas_full,10,0,fsdr,6,9,24.3856,0.7881,0.0626,416-622-1084-1659-2020-2137-2986-3443-3809
lucas_full,10,0,fsdr,7,10,24.7215,0.787,0.0627,407-694-1084-1399-2020-2021-2139-2987-3433-3809
lucas_full,10,0,fsdr,8,9,24.8042,0.793,0.0619,418-577-1078-1722-2020-2126-2983-3435-3810
lucas_full,10,0,fsdr,9,10,24.7596,0.7921,0.062,413-451-1125-1490-1860-2141-2447-2994-3435-3809
