dataset,target_size,fold,algorithm,repeat,final_size,time,metric1,metric2,selected_features
lucas_full,10,0,fsdr,0,10,23.6383,0.7907,0.0622,429-669-1109-1862-2020-2126-2132-2985-3435-3806
lucas_full,10,0,fsdr,1,9,24.2344,0.7836,0.0632,413-642-1110-1456-2020-2140-2990-3435-3809
lucas_full,10,0,fsdr,2,10,24.7174,0.7931,0.0618,413-714-1091-1892-2020-2132-2134-2981-3435-3809
lucas_full,10,0,fsdr,3,9,25.2023,0.7877,0.0626,415-583-1109-1399-2020-2129-2988-3435-3809
lucas_full,10,0,fsdr,4,10,24.3849,0.7923,0.062,418-656-1109-1503-1892-2142-2464-2996-3443-3809
lucas_full,10,0,fsdr,5,9,24.872,0.7936,0.0618,429-482-1084-1584-2020-2298-2991-3435-3809
lucas_full,10,0,fsdr,6,10,24.7209,0.8013,0.0606,407-453-1114-1399-2021-2116-2127-2976-3419-3809
lucas_full,10,0,fsdr,7,10,25.5601,0.8014,0.0606,407-553-1091-1399-2020-2128-2475-2988-3435-3809
lucas_full,10,0,fsdr,8,10,24.8666,0.7901,0.0623,412-574-1197-1445-1900-2257-2638-2988-3435-3809
lucas_full,10,0,fsdr,9,9,25.0309,0.7833,0.0633,429-747-1137-1486-2020-2137-2989-3443-3808
