dataset,target_size,fold,algorithm,repeat,final_size,time,metric1,metric2,selected_features
lucas_full,10,0,fsdr,0,10,24.3345,0.7909,0.0622,413-481-1019-1417-1885-2020-2638-2995-3426-3809
lucas_full,10,0,fsdr,1,10,24.3537,0.796,0.0614,423-486-1244-1426-1896-2020-2143-2992-3440-3809
lucas_full,10,0,fsdr,2,10,24.7929,0.7914,0.0621,412-611-1109-1399-2020-2021-2128-2987-3435-3810
lucas_full,10,0,fsdr,3,10,25.18,0.8032,0.0603,429-433-1126-1315-2020-2141-2457-2989-3435-3809
lucas_full,10,0,fsdr,4,10,24.8455,0.7886,0.0625,426-442-1084-1401-2018-2146-2153-2984-3180-3804
lucas_full,10,0,fsdr,5,9,25.0192,0.7878,0.0626,407-643-1125-1399-2020-2639-2987-3419-3810
lucas_full,10,0,fsdr,6,9,24.7847,0.7835,0.0633,397-755-1109-1547-2020-2639-2991-3433-3809
lucas_full,10,0,fsdr,7,10,25.3586,0.8003,0.0608,443-818-1120-1469-2021-2116-2467-2983-3430-3810
lucas_full,10,0,fsdr,8,10,24.9904,0.8024,0.0604,418-567-1084-1644-2020-2114-2432-2989-3435-3805
lucas_full,10,0,fsdr,9,10,25.1789,0.7878,0.0626,417-821-1109-1434-1907-2020-2128-2985-3431-3809
