dataset,target_size,fold,algorithm,repeat,final_size,time,metric1,metric2,selected_features
lucas_full,10,0,fsdr,0,10,23.7756,0.7954,0.0615,419-783-1110-1468-2020-2137-2262-2986-3435-3806
lucas_full,10,0,fsdr,1,10,24.6037,0.8037,0.0602,424-435-1048-1401-2020-2126-2245-2993-3435-3809
lucas_full,10,0,fsdr,2,10,24.7862,0.7977,0.0611,413-498-1073-1477-1906-2020-2132-2984-3440-3809
lucas_full,10,0,fsdr,3,10,24.6409,0.8102,0.0592,429-480-1101-1489-1869-2018-2143-2990-3180-3799
lucas_full,10,0,fsdr,4,10,24.7239,0.8014,0.0606,407-617-1120-1399-2020-2129-2429-2987-3437-3810
lucas_full,10,0,fsdr,5,9,25.2041,0.7834,0.0633,419-425-1101-1399-2022-2408-2652-3452-3812
lucas_full,10,0,fsdr,6,10,25.3288,0.7784,0.064,409-544-1048-1399-1874-2018-2649-2653-3188-3809
lucas_full,10,0,fsdr,7,10,24.3384,0.7819,0.0635,418-425-1151-1398-2020-2137-2653-3001-3044-3813
lucas_full,10,0,fsdr,8,10,25.1299,0.8107,0.0592,421-429-1109-1493-2017-2137-2653-2981-3188-3811
lucas_full,10,0,fsdr,9,10,24.6654,0.7877,0.0627,407-712-1314-1435-2020-2259-2638-2995-3435-3810
