dataset,target_size,fold,algorithm,repeat,final_size,time,metric1,metric2,selected_features
lucas_full,10,0,fsdr,0,10,23.8072,0.7928,0.0619,419-429-1109-1315-1874-2144-2653-2989-3180-3806
lucas_full,10,0,fsdr,1,9,24.3702,0.7837,0.0632,401-605-1139-1403-2020-2137-2991-3433-3810
lucas_full,10,0,fsdr,2,10,24.7599,0.821,0.0575,405-435-1125-1492-2019-2110-2282-3197-3437-3812
lucas_full,10,0,fsdr,3,8,24.9638,0.7787,0.064,427-439-1046-1384-2018-2653-2989-3805
lucas_full,10,0,fsdr,4,10,24.5757,0.7963,0.0614,412-650-1109-1387-1871-2140-2656-2989-3180-3809
lucas_full,10,0,fsdr,5,10,25.2702,0.8027,0.0604,418-605-1084-1455-2020-2139-2299-2983-3435-3809
lucas_full,10,0,fsdr,6,10,25.3819,0.7976,0.0612,429-491-1109-1885-2020-2129-2245-2990-3440-3809
lucas_full,10,0,fsdr,7,9,24.7398,0.7825,0.0634,407-796-1084-1399-2020-2137-2986-3435-3809
lucas_full,10,0,fsdr,8,10,24.3832,0.7908,0.0622,414-946-1101-1447-1922-2020-2129-2982-3416-3805
lucas_full,10,0,fsdr,9,9,24.8453,0.7883,0.0626,434-503-1137-1485-1891-2020-2992-3447-3811
