dataset,target_size,fold,algorithm,repeat,final_size,time,metric1,metric2,selected_features
lucas_full,10,0,fsdr,0,9,24.2483,0.7895,0.0624,434-438-1112-1313-2020-2450-2994-3444-3810
lucas_full,10,0,fsdr,1,9,24.4193,0.7866,0.0628,422-608-1085-1399-2020-2126-2989-3443-3809
lucas_full,10,0,fsdr,2,10,24.4124,0.7797,0.0638,426-871-1048-1560-2020-2253-2307-2988-3435-3809
lucas_full,10,0,fsdr,3,9,25.4049,0.787,0.0627,412-701-1099-1692-2020-2132-2984-3431-3809
lucas_full,10,0,fsdr,4,9,25.489,0.7947,0.0616,422-479-1099-1740-2020-2137-2984-3435-3809
lucas_full,10,0,fsdr,5,9,25.6987,0.7876,0.0627,415-575-1101-1412-2020-2638-2991-3435-3810
lucas_full,10,0,fsdr,6,10,24.9697,0.7909,0.0622,415-647-1109-1678-1893-2020-2137-2987-3435-3809
lucas_full,10,0,fsdr,7,9,25.194,0.7954,0.0615,405-543-1107-1385-2017-2139-2993-3184-3806
lucas_full,10,0,fsdr,8,9,24.7764,0.7881,0.0626,429-441-1262-1422-2021-2301-2999-3443-3809
lucas_full,10,0,fsdr,9,10,24.9312,0.7893,0.0624,408-674-1110-1560-1874-2020-2146-2989-3443-3806
