M,R2_val,RMSE_val,bands
1,0.7895,0.0624,434-438-1112-1313-2020-2450-2994-3444-3810
2,0.7866,0.0628,422-608-1085-1399-2020-2126-2989-3443-3809
3,0.7797,0.0638,426-871-1048-1560-2020-2253-2307-2988-3435-3809
4,0.787,0.0627,412-701-1099-1692-2020-2132-2984-3431-3809
5,0.7947,0.0616,422-479-1099-1740-2020-2137-2984-3435-3809
6,0.7876,0.0627,415-575-1101-1412-2020-2638-2991-3435-3810
7,0.7909,0.0622,415-647-1109-1678-1893-2020-2137-2987-3435-3809
8,0.7954,0.0615,405-543-1107-1385-2017-2139-2993-3184-3806
9,0.7881,0.0626,429-441-1262-1422-2021-2301-2999-3443-3809
10,0.7893,0.0624,408-674-1110-1560-1874-2020-2146-2989-3443-3806
