M,R2_val,RMSE_val,bands
1,0.7748,0.0645,405-599-1137-1344-2018-2653-2983-3180-3805
2,0.8021,0.0605,412-523-1125-1423-2020-2285-2652-2982-3433-3809
3,0.7912,0.0621,466-569-1084-1898-1919-2020-2129-2986-3435-3809
4,0.7855,0.063,422-564-1123-1369-2020-2169-2991-3435-3809
5,0.7884,0.0625,416-441-1035-1645-1885-2021-2178-2984-3452-3455
6,0.7921,0.062,445-557-1049-1698-2020-2132-2986-3443-3809
7,0.7941,0.0617,422-717-1087-1519-2020-2122-2226-2989-3440-3810
8,0.7857,0.0629,401-641-1087-1373-2020-2128-2986-3442-3812
9,0.7941,0.0617,429-513-1045-1740-2020-2143-2988-3435-3809
10,0.7698,0.0652,690-782-1077-1491-2019-2331-2979-3443-3816
