M,R2_val,RMSE_val,bands
1,0.7902,0.0623,422-552-1111-1674-2018-2019-2376-2984-3433-3810
2,0.8044,0.0601,434-461-1101-1417-2020-2137-2258-2987-3433-3809
3,0.8028,0.0604,416-515-1122-1537-2020-2107-2417-2983-3448-3456
4,0.7842,0.0632,413-816-1101-1531-2020-2510-2986-3435-3809
5,0.7782,0.064,397-406-1018-1392-1885-2018-2653-3017-3461
6,0.7733,0.0647,414-826-1117-1451-1885-2020-2198-2998-3447-3809
7,0.7839,0.0632,418-1033-1137-1399-2020-2519-2986-3435-3809
8,0.8036,0.0603,387-408-1207-1620-2018-2020-2126-2962-3405-3814
9,0.7928,0.0619,418-517-1383-1399-2020-2111-2991-3435-3810
10,0.7952,0.0615,439-449-1109-1908-2020-2126-2983-3435-3809
