M,R2_val,RMSE_val,bands
1,0.7907,0.0622,429-669-1109-1862-2020-2126-2132-2985-3435-3806
2,0.7836,0.0632,413-642-1110-1456-2020-2140-2990-3435-3809
3,0.7931,0.0618,413-714-1091-1892-2020-2132-2134-2981-3435-3809
4,0.7877,0.0626,415-583-1109-1399-2020-2129-2988-3435-3809
5,0.7923,0.062,418-656-1109-1503-1892-2142-2464-2996-3443-3809
6,0.7936,0.0618,429-482-1084-1584-2020-2298-2991-3435-3809
7,0.8013,0.0606,407-453-1114-1399-2021-2116-2127-2976-3419-3809
8,0.8014,0.0606,407-553-1091-1399-2020-2128-2475-2988-3435-3809
9,0.7901,0.0623,412-574-1197-1445-1900-2257-2638-2988-3435-3809
10,0.7833,0.0633,429-747-1137-1486-2020-2137-2989-3443-3808
