M,R2_val,RMSE_val,bands
1,0.7909,0.0622,413-481-1019-1417-1885-2020-2638-2995-3426-3809
2,0.796,0.0614,423-486-1244-1426-1896-2020-2143-2992-3440-3809
3,0.7914,0.0621,412-611-1109-1399-2020-2021-2128-2987-3435-3810
4,0.8032,0.0603,429-433-1126-1315-2020-2141-2457-2989-3435-3809
5,0.7886,0.0625,426-442-1084-1401-2018-2146-2153-2984-3180-3804
6,0.7878,0.0626,407-643-1125-1399-2020-2639-2987-3419-3810
7,0.7835,0.0633,397-755-1109-1547-2020-2639-2991-3433-3809
8,0.8003,0.0608,443-818-1120-1469-2021-2116-2467-2983-3430-3810
9,0.8024,0.0604,418-567-1084-1644-2020-2114-2432-2989-3435-3805
10,0.7878,0.0626,417-821-1109-1434-1907-2020-2128-2985-3431-3809
